"Part";"Value";"Device";"Package";"Description";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"POPULARITY";"PROD_ID";"SF_SKU";"SPICEPREFIX";
"ACTION";"MOMENTARY-SWITCH-SPST-SMD-6.0X3.5MM";"MOMENTARY-SWITCH-SPST-SMD-6.0X3.5MM";"TACTILE_SWITCH_SMD_6.0X3.5MM";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";"";"";"";"SWCH-14278";"COM-08229";"";
"C1";"0.1uf";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"88";"";"";"C";
"C2";"";"CPOL-EUE2.5-5";"E2,5-5";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"16";"";"";"C";
"IC1";"PIC16F15355T-I_SO";"PIC16F15355T-I_SO";"SOIC127P1030X265-28M";"MCU 8-bit PIC RISC 14KB Flash 3.3V/5V 28-Pin SOIC W T/R";"MCU 8-bit PIC RISC 14KB Flash 3.3V/5V 28-Pin SOIC W T/R";"2.65mm";"Microchip";"PIC16F15355T-I/SO";"579-PIC16F15355TI/SO";"https://www.mouser.co.uk/ProductDetail/Microchip-Technology/PIC16F15355T-I-SO?qs=8cKuZ6Ok2lZJ%2F9aGIYkbmQ%3D%3D";"";"";"";"";
"ICSP";"";"CONN_05";"1X05";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";
"LED1";"APBD3224LSURKCGKC";"APBD3224LSURKCGKC";"APBD3224LSURKCGKC";"Standard LEDs - SMD 3.2x2.4MM LOW CU RED/GREEN SMD";"Standard LEDs - SMD 3.2x2.4MM LOW CU RED/GREEN SMD";"2.4mm";"Kingbright";"APBD3224LSURKCGKC";"604-APBD3224LSURKCGK";"https://www.mouser.co.uk/ProductDetail/Kingbright/APBD3224LSURKCGKC?qs=ZqXcJfGlKsjckDFm0SXANw%3D%3D";"";"";"";"";
"LED2";"APBD3224LSURKCGKC";"APBD3224LSURKCGKC";"APBD3224LSURKCGKC";"Standard LEDs - SMD 3.2x2.4MM LOW CU RED/GREEN SMD";"Standard LEDs - SMD 3.2x2.4MM LOW CU RED/GREEN SMD";"2.4mm";"Kingbright";"APBD3224LSURKCGKC";"604-APBD3224LSURKCGK";"https://www.mouser.co.uk/ProductDetail/Kingbright/APBD3224LSURKCGKC?qs=ZqXcJfGlKsjckDFm0SXANw%3D%3D";"";"";"";"";
"LED3";"APBD3224LSURKCGKC";"APBD3224LSURKCGKC";"APBD3224LSURKCGKC";"Standard LEDs - SMD 3.2x2.4MM LOW CU RED/GREEN SMD";"Standard LEDs - SMD 3.2x2.4MM LOW CU RED/GREEN SMD";"2.4mm";"Kingbright";"APBD3224LSURKCGKC";"604-APBD3224LSURKCGK";"https://www.mouser.co.uk/ProductDetail/Kingbright/APBD3224LSURKCGKC?qs=ZqXcJfGlKsjckDFm0SXANw%3D%3D";"";"";"";"";
"LED4";"APBD3224LSURKCGKC";"APBD3224LSURKCGKC";"APBD3224LSURKCGKC";"Standard LEDs - SMD 3.2x2.4MM LOW CU RED/GREEN SMD";"Standard LEDs - SMD 3.2x2.4MM LOW CU RED/GREEN SMD";"2.4mm";"Kingbright";"APBD3224LSURKCGKC";"604-APBD3224LSURKCGK";"https://www.mouser.co.uk/ProductDetail/Kingbright/APBD3224LSURKCGKC?qs=ZqXcJfGlKsjckDFm0SXANw%3D%3D";"";"";"";"";
"LED5";"APBD3224LSURKCGKC";"APBD3224LSURKCGKC";"APBD3224LSURKCGKC";"Standard LEDs - SMD 3.2x2.4MM LOW CU RED/GREEN SMD";"Standard LEDs - SMD 3.2x2.4MM LOW CU RED/GREEN SMD";"2.4mm";"Kingbright";"APBD3224LSURKCGKC";"604-APBD3224LSURKCGK";"https://www.mouser.co.uk/ProductDetail/Kingbright/APBD3224LSURKCGKC?qs=ZqXcJfGlKsjckDFm0SXANw%3D%3D";"";"";"";"";
